date,key,new_confirmed,new_deceased,new_recovered,new_tested,total_confirmed,total_deceased,total_recovered,total_tested,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,average_temperature,minimum_temperature,maximum_temperature,rainfall
2/15/2020,US_FL,,,,,,,,,102,100,109,102,99,99,292,287,299,2
2/16/2020,US_FL,,,,,,,,,104,101,108,102,98,100,294,287,302,0
2/17/2020,US_FL,,,,,,,,,105,101,124,100,81,104,296,289,302,0
2/18/2020,US_FL,,,,,,,,,103,102,113,106,101,100,297,291,304,0
2/19/2020,US_FL,,,,,,,,,103,100,115,105,102,100,298,293,304,0
2/20/2020,US_FL,,,,,,,,,102,101,110,104,101,100,297,294,303,4
2/21/2020,US_FL,,,,,,,,,100,99,88,100,100,101,289,283,303,1
2/22/2020,US_FL,,,,,,,,,103,100,108,102,101,100,285,279,295,0
2/23/2020,US_FL,,,,,,,,,105,102,120,104,100,100,290,279,299,0
2/24/2020,US_FL,,,,,,,,,103,101,112,103,102,100,293,283,300,0
2/25/2020,US_FL,,,,,,,,,103,101,106,105,102,100,296,287,303,0
2/26/2020,US_FL,,,,,,,,,105,101,91,104,101,100,294,291,303,0
2/27/2020,US_FL,,,,,,,,,108,106,102,107,102,99,287,282,291,3
2/28/2020,US_FL,,,,,,,,,105,104,104,105,101,99,284,280,291,0
2/29/2020,US_FL,,,,,,,,,106,104,108,106,102,98,286,280,293,0
3/1/2020,US_FL,,,,,2,0,,,108,107,110,107,101,99,288,280,295,0
3/2/2020,US_FL,0,0,,,2,0,,,107,107,108,103,101,100,292,280,300,0
3/3/2020,US_FL,1,0,,,3,0,,,108,110,110,103,102,100,295,285,302,0
3/4/2020,US_FL,0,0,,,3,0,,42,106,106,114,101,101,100,296,289,305,0
3/5/2020,US_FL,1,0,,67,4,0,,109,105,105,108,102,101,100,298,291,305,0
3/6/2020,US_FL,3,2,,6,7,2,,115,103,103,109,99,101,100,295,291,305,1
3/7/2020,US_FL,5,0,,179,12,2,,294,104,103,113,102,102,99,288,283,297,0
3/8/2020,US_FL,1,0,,-51,13,2,,243,104,103,99,101,100,101,288,283,297,0
3/9/2020,US_FL,1,0,,30,14,2,,273,105,105,106,99,100,100,291,283,298,0
